Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,N Participants,Year,Country,distance_std,elevation_std
50K,48.7,2280,8.7988,5.1492,72,2018,CN,-0.2859169474527299,-0.12773597549298815
50K,48.5,2290,9.0452,4.3808,226,2019,CN,-0.29085283105273724,-0.12237407921104883
50K,49.4,2380,8.8453,4.4203,266,2020,CN,-0.26864135485270463,-0.07411701267359501
20K,20.0,690,2.2683,1.5672,64,2017,ME,-0.9942162440537711,-0.980277484321339
20K,28.1,2080,6.2497,4.3125,55,2018,ME,-0.7943129582534771,-0.2349739011317744
100M,161.0,1600,23.4314,16.6369,147,2014,GB,2.4855816939513438,-0.49234492266486146
100M,161.0,1600,23.7294,16.5864,182,2015,GB,2.4855816939513438,-0.49234492266486146
100M,166.9,1532,23.3476,14.165,207,2016,GB,2.6311902601515578,-0.5288058173820488
100M,160.7,1880,23.5961,14.9647,208,2017,GB,2.4781778685513327,-0.34221182677056067
100M,161.2,3210,24.1233,15.8236,182,2018,GB,2.490517577551351,0.37092037872736805
100M,161.3,3160,23.4913,14.6069,225,2019,GB,2.492985519351355,0.34411089731767147
100M,161.3,3160,23.1064,14.2278,183,2020,GB,2.492985519351355,0.34411089731767147
100M,161.3,3210,23.2249,13.7283,188,2021,GB,2.492985519351355,0.37092037872736805
100M,161.3,3210,23.5392,13.9939,203,2022,GB,2.492985519351355,0.37092037872736805
100M,161.3,3210,24.1185,14.305,208,2023,GB,2.492985519351355,0.37092037872736805
100M,161.3,3210,24.9716,15.2153,293,2024,GB,2.492985519351355,0.37092037872736805
100K,74.6,4520,17.8461,9.6881,268,2017,JP,0.3532799787482094,1.073328791661418
100K,74.8,4430,17.379,9.3453,266,2018,JP,0.35821586234821673,1.0250717251239643
100K,74.8,4430,17.7163,9.7644,494,2019,JP,0.35821586234821673,1.0250717251239643
100K,80.0,4640,17.5172,9.64,468,2023,JP,0.4865488359484054,1.1376715470446899
50K,37.1,1849,6.0586,3.5269,195,2015,JP,-0.5721981962531507,-0.3588337052445726
20K,31.1,1290,5.3706,2.7819,180,2016,JP,-0.7202747042533684,-0.6585637074049802
20K,31.1,1400,5.1482,2.7022,188,2017,JP,-0.7202747042533684,-0.5995828483036477
20K,31.1,1360,5.5061,2.8231,248,2018,JP,-0.7202747042533684,-0.621030433431405
50K,32.7,1780,5.5274,2.7778,374,2019,JP,-0.6807876354533103,-0.3958307895899538
50K,81.8,660,9.2908,5.9289,135,2018,RU,0.5309717883484706,-0.996363173167157
50K,84.0,670,9.6425,6.165,149,2019,RU,0.5852665079485505,-0.9910012768852177
